nord: :s.m.inv., agg.inv.
norma: :s.f.
normale: :agg., s.m., s.f.
nostro: :agg.poss. di prima pers.pl., pron.poss. di prima pers.pl.
nota: :s.f.
notare: :v.tr.
notizia: :s.f.
noto: :agg., s.m.
notte: :s.f.
nove: :agg.num.card.inv., s.m.inv.,s.f.pl.
novembre: :s.m.
novità: :s.f.inv.
nucleare: :agg., s.m.
nudo: :agg., s.m.
nulla: :pron. indef.inv., s.m.inv., avv.
numero: :s.m.
numeroso: :agg.
nuovo: :agg.,s.m.
o: :cong.
obbligare: :v.tr.
obiettivo: :agg., s.m.
occasione: :s.f.
occhiale: :s.m., agg.
occhio: :s.m.
occidentale: :agg., s.m. e f.
occorrere: :v.intr.
occupare: :v.tr.
odiare: :v.tr.
odore: :s.m.
offerta: :s.f.
offrire: :v.tr.
oggetto: :s.m.
oggi: :avv., s.m.inv.
ogni: :agg.indef.inv.
ognuno: :pron.indef.m., agg.indef.
ok: :avv., s.m.inv., agg.inv.
okay: :avv., s.m.inv.,agg.inv.
olio: :s.m.
oltre: :avv., prep.
ombra: :s.f.
omicidio: :s.m.
onda: :s.f.
onore: :s.m.
opera: :s.f.
operaio: :s.m., agg.
operare: :v.intr. e tr.
operazione: :s.f.
opinione: :s.f.
opporre: :v.tr.
opposto: :p.pass., agg., s.m.
oppure: :cong.
ora: :s.f.
ora: :avv.
orario: :agg., s.m.
ordinare: :v.tr.
ordine: :s.m.
orecchio: :s.m.
organismo: :s.m.
organizzare: :v.tr.
organizzazione: :s.f.
organo: :s.m.
originale: :agg., s.m. e f.
origine: :s.f.
ormai: :avv.
oro: :s.m.
orologio: :s.m.
ospedale: :s.m.
ospitare: :v.tr.
ospite: :agg., s.m. e f.
osservare: :v.tr. e intr.
osso: :s.m.
ottenere: :v.tr.
ottimo: :agg., s.m.
otto: :agg.num. card.inv., s.m.inv., s.f.pl.
ottobre: :s.m.
ovunque: :avv., cong.
ovvero: :cong.
ovviamente: :avv.
pace: :s.f.
padre: :s.m.
padrone: :s.m.
paese: :s.m.
pagamento: :s.m.
pagare: :v.tr.
pagina: :s.f.
paio: :s.m.
palazzo: :s.m.
palla: :s.f.
pane: :s.m.
pantalone: :s.m.
papa: :s.m.
papà: :s.m.inv.
parco: :s.m.
parecchio: :agg.indef., pron.indef., avv., agg.
parente: :s.m. e f.
parere: :v.intr.
parere: :s.m.
parete: :s.f.
pari: :agg.inv., avv., s.m. e f.inv.
parlare: :v.intr. e tr.
parola: :s.f.
parte: :s.f., avv.
partecipare: :v.intr. e tr.
partenza: :s.f.
particolare: :agg., s.m.
particolarmente: :avv.
partire: :v.intr.
partita: :s.f.
partito: :s.m.
passaggio: :s.m.
passare: :v.intr. e tr.
passato: :p.pass., agg., s.m.
passione: :s.f.
passo: :s.m.
pasta: :s.f.
paura: :s.f.
pausa: :s.f.
paziente: :agg., s.m. e f.
pazienza: :s.f.
pazzo: :agg., s.m.
peggio: :avv., agg.inv., s.m.inv.
pelle: :s.f.
pena: :s.f.
pensare: :v.intr. e tr.
pensiero: :s.m.
pensione: :s.f.
per: :prep.
percepire: :v.tr.
perché: :avv., cong., s.m.inv.
perciò: :cong.
percorso: :p.pass., agg., s.m.
perdere: :v.tr. e intr.
perdita: :s.f.
perdonare: :v.tr. e intr.
perfettamente: :avv.
perfetto: :p.pass., agg., s.m.
perfino: :avv., prep.
pericolo: :s.m.
pericoloso: :agg.
periodo: :s.m.
permettere: :v.tr.
però: :cong.
persino: :avv.
persona: :s.f.
personaggio: :s.m.
personale: :agg., s.m., s.f.
personale: :s.m.
personalmente: :avv.
pesante: :p.pres., agg., avv.
pesce: :s.m.
peso: :s.m.
petto: :s.m.
pezzo: :s.m.
piacere: :v.intr.
piacere: :s.m.
pianeta: :s.m. e f.
piangere: :v.intr. e tr., s.m.
piano: :s.m.
piano: :s.m.
piano: :agg., avv.
pianta: :s.f.
piatto: :agg., s.m.
piazza: :s.f.
piccolo: :agg., s.m.
piede: :s.m.
pieno: :agg., s.m.
pietra: :s.f.
pioggia: :s.f.
pistola: :s.f., s.m.inv.
più: :avv., agg.compar.inv., prep., s.m.inv.
piuttosto: :avv.
poco: :agg.indef., pron. indef., s.m., avv.
poesia: :s.f.
poeta: :s.m.
poi: :avv.
poiché: :cong.
politica: :s.f.
politico: :agg., s.m.
polizia: :s.f.
poliziotto: :s.m.
polvere: :s.f.
pomeriggio: :s.m.
ponte: :s.m.
popolare: :agg., s.m.
popolazione: :s.f.
popolo: :s.m.
porre: :v.tr. e intr.
porta: :s.f.
portare: :v.tr. e intr.
porto: :s.m.
positivo: :agg., s.m., avv.
posizione: :s.f.
possedere: :v.tr.
possibile : :agg., s.m.
possibilità: :s.f.inv.
posta: :s.f.
posto: :s.m.
potente: :p.pres.,agg., s.m.
potere: :v.tr. e intr.
potere: :s.m.
povero: :agg.
pranzo: :s.m.
pratica: :s.f.
praticamente: :avv.
pratico: :agg.
precedente: :p.pres., agg., s.m.
precisare: :v.tr.
preciso: :agg.,avv.
preferire: :v.tr.
pregare: :v.tr.
prego: :inter.
premio: :s.m.,agg.inv.
prendere: :v.tr. e intr.
preoccupare: :v.tr.
preparare: :v.tr.
presa: :s.f.
presentare: :v.tr.
presente: :agg.,s.m., avv.
presenza: :s.f.
presidente: :s.m. e f., agg.
pressione: :s.f.
presso: :avv., prep., s.m.,agg.
prestare: :v.tr.
presto: :avv., inter.,agg.
prete: :s.m.
pretendere: :v.tr. e intr.
prevedere: :v.tr.
previsto: :p.pass.,agg., s.m.
prezioso: :agg.,s.m.
prezzo: :s.m.
prima: :avv., agg.inv., s.m.inv.
prima: :s.f.
primavera: :s.f.,s.m.inv.
primo: :agg.num.ord.,s.m., avv.
principale: :agg.,s.m. e f.
principe: :s.m.,agg.
principio: :s.m.
privato: :agg.,s.m.
probabilmente: :avv.
problema: :s.m.
procedere: :v.intr.
procedura: :s.f.
processo: :s.m.
prodotto: :p.pass.,agg., s.m.
produrre: :v.tr.
produzione: :s.f.,prof s.m. e f.inv.
professionale: :agg.
professore: :s.m.
profilo: :s.m.
profondo: :agg.,s.m., avv.
progetto: :s.m.
programma: :s.m.
promettere: :v.tr.
pronto: :agg.
pronunciare: :v.tr.
proporre: :v.tr.
proposito: :s.m.
proposta: :s.f.
proprietà: :s.f.inv.
proprietario: :agg., s.m.
proprio: :agg.poss., agg., avv.,s.m.
proseguire: :v.tr. e intr.
prossimo: :agg.,s.m.
protagonista: :agg.,s.m. e f.
proteggere: :v.tr.
prova: :s.f.
provare: :v.tr.
provenire: :v.intr.
provincia: :s.f.
provocare: :v.tr.
pubblicare: :v.tr.
pubblicità: :s.f.inv.
pubblico: :agg.,s.m.
pugno: :s.m.
pulire: :v.tr., v. intr.
punta: :s.f.
puntare: :v.tr. e intr.
punto: :s.m.
pure: :avv., cong.
puro: :agg.,s.m.
purtroppo: :avv.
qua: :avv.
quadro: :agg., s.m.
qualche: :agg.indef., avv.
qualcosa: :pron.indef., s.m.
qualcuno: :pron.indef.m., agg.indef., s.m.
quale: :agg.interr., agg.escl., agg.rel., agg.indef.,pron. interr., pron.rel., pron.indef., avv., s.m.
qualità: :s.f.inv.
qualsiasi: :agg.indef., agg.rel.
qualunque: :agg.indef., agg.rel., pron.rel.indef.
quando: :cong., avv., s.m.
quantità: :s.f.inv.
quanto: :agg. interr., agg.escl., agg.rel., pron.interr.,pron.escl., pron.rel., avv., s.m.
quaranta: :agg.num.card.inv., s.m.inv., s.m.pl.
quartiere: :s.m.
quarto: :agg.num.ord., s.m.
quasi: :avv., cong.
quattro: :agg. num.card.inv., s.m.inv., s.f.pl.
quello: :agg.dimostr., pron.dimostr.m.
questione: :s.f.
questo: :agg.dimostr., pron. dimostr.m.
qui: :avv.
quindi: :avv., cong.
quindici: :agg.num.card.inv., s.m.inv., s.f.pl.,s.m.pl.
quiz: :s.m.inv.
quota: :s.f.
quotidiano: :agg., s.m.
rabbia: :s.f.
raccogliere: :v.tr.
raccolta: :s.f.
raccontare: :v.tr. e intr.
racconto: :s.m.
radice: :s.f.
radio: :s.f.inv., agg.inv.
ragazza: :s.f.
ragazzino: :s.m.
ragazzo: :s.m.
raggio: :s.m.
raggiungere: :v.tr.
ragione: :s.f.
rapido: :agg., s.m.
rapporto: :s.m.
rappresentare: :v.tr.
raro: :agg., s.m., avv.
re: :s.m.inv.
reagire: :v.intr.
reale: :agg., s.m.
realizzare: :v.tr.
realtà: :s.f.inv.
reato: :s.m.
reazione: :s.f.
recare: :v.tr.
recente: :agg.
recitare: :v.tr.
recuperare: :v.tr.
regalare: :v.tr.
regalo: :s.m.
reggere: :v.tr. e intr.
regime: :s.m.
regina: :s.f.
regione: :s.f.
regista: :s.m. e f.
registrare: :v.tr.
registrazione: :s.f.
regno: :s.m.
regola: :s.f.
relativo: :agg.
relazione: :s.f.
religione: :s.f.
religioso: :agg., s.m.
rendere: :v.tr.
repubblica: :s.f.
resistere: :v.intr.
respirare: :v.intr. e tr.
responsabile: :agg., s.m. e f.
responsabili: :tà   s.f.inv.
restare: :v.intr. e tr.
resto: :s.m.
rete: :s.f.
ricco: :agg.
ricerca: :s.f.
ricetta: :s.f.
ricevere: :v.tr.
richiamare: :v.tr.
richiedere: :v.tr.
richiesta: :s.f.
ricominciare: :v.tr. e intr.
riconoscere: :v.tr.
ricordare: :v.tr.
ricordo: :s.m.
ridere: :v.intr. e tr., s.m.
ridurre: :v.tr.
riempire: :v.tr.
rientrare: :v.intr. e tr.
rifare: :v.tr.
riferimento: :s.m.
riferire: :v.tr. e intr.
rifiutare: :v.tr. e intr.
rifiuto: :s.m.
riflessione: :s.f.
riflettere: :v.tr. e intr.
riga: :s.f.
riguardare: :v.tr. e intr.
riguardo: :s.m.
rilassare: :v.tr.
rimanere: :v.intr.
rimettere: :v.tr. e intr.
ringraziare: :v.tr.
rinunciare: :v.intr. e tr.
ripetere: :v.tr.
riportare: :v.tr.
riprendere: :v.tr. e intr.
riproduzione: :s.f.
risalire: :v.tr. e intr.
rischiare: :v.tr.
rischio: :s.m.
riservare: :v.tr.
riservato: :p.pass., agg.
risolvere: :v.tr., v. intr.
risorsa: :s.f.
rispettare: :v.tr.
rispetto: :s.m.
rispondere: :v.intr.  e  tr.
risposta: :s.f.
ristorante: :s.m.
risultare: :v.intr. e tr.
risultato: :p.pass., agg., s.m.
ritardo: :s.m.
ritenere: :v.tr.
ritirare: :v.tr.
ritmo: :s.m.
ritornare: :v.intr. e tr.
ritorno: :s.m.
ritrovare: :v.tr.
riunione: :s.f.
riunire: :v.tr.
riuscire: :v.intr.
rivedere: :v.tr.
rivelare: :v.tr.
rivista: :s.f.
rivolgere: :v.tr.
rivoluzione: :s.f.
roba: :s.f.
romano: :agg., s.m.
romanzo: :s.m.
rompere: :v.tr. e intr.
rosa: :s.f., s.m.inv., agg.inv.
rosso: :agg., s.m.
rovinare: :v.intr. e tr.
rubare: :v.tr.
rumore: :s.m.
ruolo: :s.m.
russo: :agg.,s.m.
sabato: :s.m.
sacco: :s.m.
sala: :s.f.
salire: :v.intr. e tr.
saltare: :v.intr. e tr.
salutare: :v.tr., s.m.
salute: :s.f., inter.
saluto: :s.m.
salvare: :v.tr.
salvo: :agg., prep.
sangue: :s.m., agg.inv.
sano: :agg.
santo: :agg., s.m.
sapere: :v.tr. e intr.
sbagliare: :v.intr. e tr.
sbagliato: :p.pass., agg.
sbattere: :v.tr. e intr.
scala: :s.f.
scambiare: :v.tr.
scambio: :s.m.
scappare: :v.intr.
scaricare: :v.tr.
scarpa: :s.f.
scatola: :s.f.
scattare: :v.intr. e tr.
scegliere: :v.tr.
scelta: :s.f.
scena: :s.f.
scendere: :v.intr. e tr.
schermo: :s.m.
scherzare: :v.intr., v.tr.
schiena: :s.f.
schifo: :s.m., agg.
scientifico: :agg., s.m.
scienza: :s.f.
scomparire: :v.intr.
sconosciuto: :p.pass., agg.
scoperta: :s.f.
scopo: :s.m.
scoppiare: :v.intr., v.tr.
scoprire: :v.tr.
scorrere: :v.intr. e tr.
scorso: :p.pass., agg., s.m.
scrittore: :s.m.
scrittura: :s.f.
scrivere: :v.tr.
scuola: :s.f.
scusa: :s.f.
scusare: :v.tr. e intr.
se: :pron.pers. di terza pers.m. e f.sing. e pl.
se: :cong., s.m.inv.
secco: :agg., s.m.
secolo: :s.m.
secondo: :agg.num.ord., s.m., avv.
secondo: :prep., cong.
sede: :s.f.
sedere: :v.intr. e tr.
sedia: :s.f.
segnalare: :v.tr.
segnale: :s.m.
segnare: :v.tr.
segno: :s.m.
segreto: :s.m.
segreto: :agg., s.m., avv.
seguente: :p.pres., agg., s.m. e f.
seguire: :v.tr. e intr.
seguito: :s.m.
sei: :agg.num.card.inv., s.m.inv., s.f.pl.
sembrare: :v.intr.
semplice: :agg., s.m.
semplicemente: :avv.
sempre: :avv.
seno: :s.m.
sensazione: :s.f.
senso: :s.m.
sentenza: :s.f.
sentimento: :s.m.
sentire: :v.tr., v. intr.
senza: :prep., cong., inter.
separare: :v.tr.
sera: :s.f.
serata: :s.f.
sereno: :agg., s.m.
serie: :s.f.inv.
serio: :agg., s.m.
servire: :v.tr. e intr.
servizio: :s.m.
sesso: :s.m.
sessuale: :agg.
sette: :agg.num.card.inv., s.m.inv., s.f.pl.
settembre: :s.m.
settimana: :s.f.
settore: :s.m.
sezione: :s.f.
sfida: :s.f.
sforzo: :s.m.
sfruttare: :v.tr.
sfuggire: :v.tr. e intr.
sguardo: :s.m.
sì: :avv., s.m.inv., agg.inv.
si: :pron.pers. di terza pers.m. e f.sing. e pl.
sia: :cong.
siccome: :cong., avv.
sicuramente: :avv.
sicurezza: :s.f.
sicuro: :agg., s.m., avv.
sigaretta: :s.f.
significare: :v.tr.
significato: :p.pass., s.m.
signora: :s.f.
signore: :s.m.
signorina: :s.f.
silenzio: :s.m.
simbolo: :s.m.
simile: :agg., agg.dimostr., s.m. e f., s.m., avv.
simpatico: :agg.
singolo: :agg., s.m.
sinistra: :s.f.
sinistro: :agg., s.m.
sino: :prep., avv.
sistema: :s.m.
sistemare: :v.tr.
sito: :s.m.
sito: :agg.
situazione: :s.f.
smettere: :v.tr. e intr.
sociale: :agg., s.m.
società: :s.f.inv.
soddisfare: :v.tr. e intr.
soddisfazione: :s.f.
sofferenza: :s.f.
soffrire: :v.tr. e intr.
soggetto: :s.m.
soggiorno: :s.m.
sognare: :v.tr. e intr.
sogno: :s.m.
solamente: :avv., cong.
soldato: :s.m.
soldo: :s.m.
sole: :s.m.
solito: :agg., s.m.
sollevare: :v.tr.
solo: :agg., s.m., avv., cong.
soltanto: :avv., cong.
soluzione: :s.f.
somma: :s.f.
sondaggio: :s.m.
sonno: :s.m.
sopportare: :v.tr.
sopra: :prep., avv., agg.inv., s.m.inv.
soprattutto: :avv.
sopravvivere: :v.intr.
sorella: :s.f.
sorpresa: :s.f.
sorridere: :v.intr. e tr.
sorriso: :s.m.
sorta: :s.f.
sospetto: :s.m.
sospetto: :agg., s.m.
sostanza: :s.f.
sostenere: :v.tr.
sostituire: :v.tr.
sottile: :agg., s.m., avv.
sotto: :prep., avv., agg.inv., s.m.inv.
sottolineare: :v.tr.
sottoporre: :v.tr.
spagnolo: :agg., s.m.
spalla: :s.f.
sparare: :v.intr. e tr.
sparire: :v.intr.
spaventare: :v.tr.
spazio: :s.m.
specchio: :s.m.
speciale: :agg., s.m., s.f.
specie: :s.f., avv.
specifico: :agg., s.m.
spegnere: :v.tr.
spendere: :v.tr.
speranza: :s.f.
sperare: :v.tr. e intr.
spesa: :s.f.
spesso: :avv.
spettacolo: :s.m.
spiaggia: :s.f.
spiegare: :v.tr.
spiegazione: :s.f.
spingere: :v.tr. e intr.
spirito: :s.m.
sporco: :agg., s.m.
sport: :s.m.inv., agg.inv.
sportivo: :agg., s.m.
sposare: :v.tr. e intr.
spostare: :v.tr.
squadra: :s.f.
stabilire: :v.tr.
staccare: :v.tr. e intr.
stagione: :s.f.
stampa: :s.f.
stanco: :agg.
stanza: :s.f.
stare: :v.intr.
stasera: :avv.
stato: :s.m.
stato: :s.m.
stazione: :s.f.
stella: :s.f.
stesso: :agg.dimostr., pron.dimostr.m.
stile: :s.m.
stipendio: :s.m.
storia: :s.f.
storico: :agg., s.m.
strada: :s.f.
straniero: :agg., s.m.
strano: :agg.
straordinario: :agg., s.m.
strategia: :s.f.
strega: :s.f.
stretto: :p.pass., agg., s.m.
stringere: :v.tr. e intr.
stronzo: :s.m., agg.
strumento: :s.m.
struttura: :s.f.
studente: :s.m.
studiare: :v.tr.
studio: :s.m.
stupido: :agg., s.m.
su: :prep., avv., inter., s.m.inv.
subire: :v.tr.
subito: :avv.
succedere: :v.intr.
successivo: :agg.
successo: :s.m.
sud: :s.m.inv., agg.inv.
sufficiente: :agg.
suggerire: :v.tr.
suo: :agg.poss. di terza pers.sing., pron.poss. di terza pers.sing.
suonare: :v.tr. e intr.
suono: :s.m.
suora: :s.f.
superare: :v.tr.
superficie: :s.f.
superiore: :agg., s.m.
supporto: :s.m.
svegliare: :v.tr.
sviluppare: :v.tr., v. intr.
sviluppo: :s.m.
svolgere: :v.tr.
tacere: :v.intr. e tr., s.m.
tagliare: :v.tr. e intr.
taglio: :s.m.
tale: :agg.dimostr., agg.indef., pron.dimostr., pron.indef.,avv.
talmente: :avv.
tanto: :agg.indef., pron.indef., pron.dimostr., s.m.inv.,avv., cong.
tardi: :avv.
tardo: :agg., avv.
tasca: :s.f.
tassa: :s.f.
tavola: :s.f.
tavolo: :s.m.
te: :pron.pers. di seconda pers.sing.
teatro: :s.m.
tecnica: :s.f.
tecnico: :agg., s.m.
tecnologia: :s.f.
tedesco: :agg., s.m.
telefonare: :v.intr. e tr.
telefonata: :s.f.
telefonico: :agg.
telefono: :s.m.
televisione: :s.f.
televisivo: :agg.
tema: :s.m.
temere: :v.tr. e intr.
temperatura: :s.f.
tempo: :s.m.
tenda: :s.f.
tendenza: :s.f.
tendere: :v.tr. e intr.
tenere: :v.tr. e intr.
tensione: :s.f.
tentare: :v.tr.
tentativo: :s.m.
teoria: :s.f.
terapia: :s.f.
terminare: :v.tr. e intr.
termine: :s.m.
terra: :s.f.
terreno: :s.m.
terribile: :agg.
territorio: :s.m.
terzo: :agg.num.ord., s.m.
tesi: :s.f.inv.
tesoro: :s.m.
test: :s.m.inv.
testa: :s.f.
testimone: :s.m. e f.,s.m.
testo: :s.m.
tetto: :s.m.
ti: :pron.pers. di seconda pers.sing.
tipico: :agg.
tipo: :s.m.
tirare: :v.tr. e intr.
titolo: :s.m.
tivù: :s.f.inv.
toccare: :v.tr. e intr.
togliere: :v.tr.
tono: :s.m.
tornare: :v.intr. e tr.
totale: :agg., s.m.
tra: :prep.
traccia: :s.f.
tradizionale: :agg.
tradizione: :s.f.
tradurre: :v.tr.
traduzione: :s.f.
traffico: :s.m.
tramite: :s.m., prep.
tranne: :prep.
tranquillo: :agg., avv., s.m.inv.
trarre: :v.tr. e intr.
trascinare: :v.tr.
trascorrere: :v.tr. e intr.
trasferire: :v.tr.
trasformare: :v.tr.
trasmettere: :v.tr.
trasmissione: :s.f.
trasporto: :s.m.
trattamento: :s.m.
trattare: :v.tr. e intr.
trattenere: :v.tr.
tratto: :s.m.
tre: :agg.num.card.inv., s.m.inv., s.f.pl.
treno: :s.m.
trenta: :agg.num.card. inv.,s.m.inv.
tribunale: :s.m.
triste: :agg.
troppo: :agg.indef., pron.indef., avv., s.m.
trovare: :v.tr.
tu: :pron.pers. di seconda pers.sing., s.m.inv.
tuo: :agg.poss. di seconda pers.sing., pron.poss. di seconda pers.sing.
turno: :s.m.
tuttavia: :cong.,avv.
tutto: :agg.indef.,pron.indef., s.m.
uccello: :s.m.
uccidere: :v.tr.
ufficiale: :agg.
ufficio: :s.m.
uguale: :agg., avv., s.m. e f., s.m.inv.
ulteriore: :agg.
ultimo: :agg.,s.m.
umanità: :s.f.inv.
umano: :agg., s.m.
una: :art.indet.f.sing., pron.indef., s.f.inv.
unico: :agg., s.m.
unire: :v.tr.
unità: :s.f.inv.
unito: :p.pass., agg., s.m.
università: :s.f.inv.
universo: :s.m.
uno: :agg.num.card., s.m.inv., art.indet.m.sing., pron. indef.m.
uomo: :s.m.
uovo: :s.m.
urlare: :v.intr. e tr.
usare: :v.tr., v. intr.
uscire: :v.intr.
uscita: :s.f.
uso: :s.m.
utente: :s.m. e f.
utile: :agg., s.m.
utilizzare: :v.tr.
vacanza: :s.f.
valere: :v.intr. e tr.
valore: :s.m.
valutare: :v.tr.
vantaggio: :s.m.
vario: :agg., agg.indef., pron.indef., s.m.
ve: :pron.pers. di seconda pers.pl., avv.
vecchio: :agg.,s.m.
vedere: :v.tr. e intr., s.m.
veloce: :agg., avv., s.f.
velocità: :s.f.inv.
vendere: :v.tr.
vendita: :s.f.
venerdì: :s.m.inv.
venire: :v.intr.
venti: :agg.num.card.inv., s.m.inv., s.f.pl.
vento: :s.m.
veramente: :avv.
verbale: :agg., s.m.
verde: :agg., s.m., s.f.
verificare: :v.tr.
verità: :s.f.inv.
vero: :agg., s.m.
versare: :v.tr.
versione: :s.f.
verso: :s.m.
verso: :prep.
vestire: :v.tr. e intr.
vestito: :s.m.
vetro: :s.m.
vi: :pron.pers. di seconda pers.pl., pron.dimostr., avv.
via: :s.f., avv., inter., s.m.inv.
viaggiare: :v.intr. e tr.
viaggio: :s.m.
vicenda: :s.f.
vicino: :agg., s.m., avv.
video: :agg.inv., s.m.inv.
villa: :s.f.
villaggio: :s.m.
vincere: :v.tr. e intr.
vino: :s.m., agg.inv.
violento: :agg., s.m.
violenza: :s.f.
visione: :s.f.
visita: :s.f.
visitare: :v.tr.
viso: :s.m.
vista: :s.f.
vita: :s.f.
vittima: :s.f.
vittoria: :s.f.
vivere: :v.intr. e tr., s.m.
vivo: :agg., s.m.
voce: :s.f.
voglia: :s.f.
voi: :pron.pers. di seconda pers.pl., s.m.inv.
volare: :v.intr. e tr.
volere: :v.tr.
volo: :s.m.
volontà: :s.f.inv.
volta: :s.f.
voltare: :v.tr. e intr.
volto: :s.m.
volume: :s.m.
vostro: :agg.poss. di seconda pers.pl., pron.poss. di seconda pers.pl.
votare: :v.tr. e intr.
voto: :s.m.
vuoto: :agg., s.m. 
web: :s.m.inv.
zero: :agg.num.card.inv.,s.m., simb.
zia: :s.f.
zio: :s.m.
zitto: :agg.,s.m.
zona: :s.f.
